,property_id,county,state,prop_type,2020_avg,2019_avg,2020_01_avg,2020_02_avg,2020_03_avg,2020_04_avg,2020_05_avg,2020_06_avg,2020_07_avg,2020_08_avg,2020_09_avg,2020_10_avg,2020_11_avg,2020_12_avg
0,O1000007648,Los Angeles,California,multi_family,376.38,95.34,376.38,376.38,376.38,376.38,376.38,376.38,376.38,376.38,376.38,376.38,378.63,378.63
1,O1028836967,Los Angeles,California,single_family,718.43,51.85,718.43,718.43,718.43,718.43,718.43,718.43,718.43,718.43,718.43,718.43,722.56,722.56
2,O1032600397,Los Angeles,California,condo,622.91,530.76,622.91,622.91,622.91,622.91,622.91,622.91,622.91,622.91,622.91,622.91,613.34,613.34
3,O1040189261,Los Angeles,California,condo,309.53,66.71,309.53,309.53,309.53,309.53,309.53,309.53,331.49,331.49,368.07,368.07,373.98,373.98
4,O1096880971,Los Angeles,California,condo,487.40,389.85,487.40,487.40,487.40,487.40,487.40,487.40,487.40,487.40,487.40,487.40,487.40,487.40
5,O1157137309,Los Angeles,California,multi_family,376.16,362.83,376.16,376.16,376.16,376.16,376.16,376.16,376.16,373.53,372.75,372.75,372.75,372.75
6,O1181161247,Los Angeles,California,single_family,577.16,300.50,577.16,577.16,577.16,577.16,577.16,577.16,577.16,577.16,577.16,577.16,587.97,620.37
7,O1197045282,Los Angeles,California,multi_family,290.13,53.66,290.13,290.13,290.13,290.13,290.13,290.13,290.13,290.13,290.13,290.13,290.13,294.12
8,O1209255762,Los Angeles,California,condo,283.37,298.89,283.37,283.37,283.37,283.37,283.37,283.37,283.37,283.37,285.86,285.86,293.32,293.32
9,O1274643827,Los Angeles,California,single_family,509.76,145.98,509.76,509.76,509.76,509.76,509.76,509.76,509.76,509.76,509.76,509.76,509.76,531.62
10,O1342399516,Los Angeles,California,multi_family,475.57,475.57,475.57,475.57,475.57,475.57,475.57,475.57,475.57,475.57,475.57,475.57,475.57,458.92
11,O1344367702,Los Angeles,California,single_family,704.76,164.59,704.76,704.76,704.76,649.80,649.80,649.80,649.80,649.80,649.80,649.80,657.14,657.14
12,O1361458248,Los Angeles,California,multi_family,398.09,195.07,398.09,398.09,395.71,395.71,389.81,383.08,383.08,376.63,380.13,380.13,380.13,380.13
13,O1369376543,Los Angeles,California,condo,502.83,381.62,502.83,502.83,502.83,502.83,502.83,502.83,502.83,502.83,502.83,502.83,502.83,517.10
14,O1381458687,Los Angeles,California,single_family,844.97,277.26,844.97,844.97,844.97,844.97,844.97,844.97,844.97,844.97,844.97,813.55,791.43,791.43
15,O1387209868,Los Angeles,California,multi_family,296.77,332.17,296.77,296.77,296.77,296.77,296.77,296.77,296.77,296.77,286.53,286.53,286.53,286.53
16,O1389945876,Los Angeles,California,multi_family,701.20,701.20,701.20,701.20,701.20,701.20,701.20,701.20,617.05,617.05,617.05,617.05,617.05,617.05
17,O1405415858,Los Angeles,California,multi_family,287.55,157.21,287.55,287.55,287.55,287.55,287.55,287.55,277.39,277.39,277.39,274.74,274.74,274.74
18,O1414670866,Los Angeles,California,multi_family,393.88,460.59,393.88,393.88,393.88,393.88,394.11,394.59,394.59,394.59,394.59,394.59,384.62,384.62
19,O1479533202,Los Angeles,California,single_family,1100.34,723.96,1100.34,1100.34,1100.34,1100.34,1100.34,1100.34,1100.34,1100.34,1100.34,1100.34,1010.82,1026.07
